City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Camacha,PT,33.0833,-16.3333,67.42,68,20,12.66,few clouds
274,Olafsvik,IS,64.8945,-23.7142,46.26,84,100,28.74,overcast clouds
275,Mamallapuram,IN,12.6264,80.1722,77.05,73,99,13.58,light rain
276,Banda Aceh,ID,5.5577,95.3222,81.95,75,78,10.89,broken clouds
277,Paamiut,GL,61.994,-49.6678,34.65,100,100,6.98,snow
278,Chengde,CN,40.9725,117.9361,72.55,51,100,4.45,overcast clouds
279,Tukrah,LY,32.5341,20.5791,86.27,40,0,21.3,clear sky
280,Faya,SA,18.3851,42.4509,59.52,54,0,3.15,clear sky
281,Poya,NC,-21.35,165.15,75.67,61,96,8.72,overcast clouds
282,Baykit,RU,61.67,96.37,30.74,65,78,3.11,broken clouds
283,Cabedelo,BR,-6.9811,-34.8339,75.87,80,30,13.62,scattered clouds
284,Sawakin,SD,19.1059,37.3321,83.32,65,0,8.14,clear sky
285,Hami,CN,42.8,93.45,56.1,37,100,7.09,overcast clouds
286,Batagay-Alyta,RU,67.8006,130.4114,21.54,84,100,1.97,overcast clouds
287,Kerman,IR,30.2832,57.0788,49.86,23,0,4.61,clear sky
288,Aswan,EG,24.0934,32.907,83.98,21,0,7.9,clear sky
289,Tomatlan,MX,19.9333,-105.25,76.44,91,43,1.19,scattered clouds
290,Nanortalik,GL,60.1432,-45.2371,39.83,90,100,11.79,light rain
291,Yangambi,CD,0.8102,24.4336,68.58,92,100,1.16,overcast clouds
292,Bestobe,KZ,52.4994,73.0975,27.72,75,9,5.99,clear sky
293,Ulladulla,AU,-35.35,150.4667,58.1,64,71,9.01,broken clouds
294,Naze,JP,28.3667,129.4833,81.52,64,0,8.79,clear sky
295,Kristianstad,SE,56.0313,14.1524,48.34,97,10,2.3,fog
296,Amahai,ID,-3.3333,128.9167,85.28,66,17,2.66,few clouds
297,Pisco,PE,-13.7,-76.2167,61.02,82,0,11.5,clear sky
298,Talnakh,RU,69.4865,88.3972,29.21,93,100,5.68,overcast clouds
299,Obilnoye,RU,44.2457,43.5613,54.79,76,4,3.38,clear sky
300,Marawi,PH,7.9986,124.2928,75.92,80,85,3.29,overcast clouds
301,Codrington,AU,-38.2667,141.9667,60.78,67,0,7.65,clear sky
